استان,نام استان,شهرستان,نام شهرستان
06,خوزستان,04,ايذه
06,خوزستان,01,آبادان
06,خوزستان,26,آغاجاري
06,خوزستان,15,باغ ملک
06,خوزستان,24,باوي
06,خوزستان,05,بندرماهشهر
06,خوزستان,06,بهبهان
06,خوزستان,25,حميديه
06,خوزستان,07,خرمشهر
06,خوزستان,08,دزفول
06,خوزستان,09,دشت آزادگان
06,خوزستان,19,رامشير
06,خوزستان,10,رامهرمز
06,خوزستان,11,شادگان
06,خوزستان,14,شوش
06,خوزستان,12,شوشتر
06,خوزستان,27,کارون
06,خوزستان,20,گتوند
06,خوزستان,17,لالي
06,خوزستان,13,مسجدسليمان
06,خوزستان,22,هفتکل
06,خوزستان,18,هنديجان
06,خوزستان,23,هويزه
19,زنجان,01,ابهر
19,زنجان,06,ايجرود
19,زنجان,03,خدابنده
19,زنجان,07,خرمدره
19,زنجان,04,زنجان
19,زنجان,10,سلطانيه
19,زنجان,08,طارم
19,زنجان,09,ماهنشان
20,سمنان,06,آرادان
20,سمنان,01,دامغان
20,سمنان,08,سرخه
20,سمنان,02,سمنان
20,سمنان,03,شاهرود
20,سمنان,04,گرمسار
20,سمنان,05,مهدئ شهر
20,سمنان,07,ميامي
11,سيستان وبلوچستان,01,ايرانشهر
11,سيستان وبلوچستان,20,بمپور
11,سيستان وبلوچستان,21,تفتان
11,سيستان وبلوچستان,02,چاه بهار
11,سيستان وبلوچستان,03,خاش
11,سيستان وبلوچستان,22,دشتیاری
11,سيستان وبلوچستان,12,دلگان
11,سيستان وبلوچستان,08,راسک
11,سيستان وبلوچستان,04,زابل
11,سيستان وبلوچستان,05,زاهدان
11,سيستان وبلوچستان,10,زهک
11,سيستان وبلوچستان,06,سراوان
11,سيستان وبلوچستان,23,سرباز
11,سيستان وبلوچستان,14,سيب و سوران
11,سيستان وبلوچستان,19,فنوج
11,سيستان وبلوچستان,18,قصرقند
11,سيستان وبلوچستان,09,کنارک
11,سيستان وبلوچستان,13,مهرستان
11,سيستان وبلوچستان,17,ميرجاوه
11,سيستان وبلوچستان,07,نيک شهر
11,سيستان وبلوچستان,15,نيمروز
11,سيستان وبلوچستان,16,هامون
11,سيستان وبلوچستان,11,هيرمند
07,فارس,17,ارسنجان
07,فارس,02,استهبان
07,فارس,03,اقليد
07,فارس,36,اوز
07,فارس,01,آباده
07,فارس,35,بختگان
07,فارس,16,بوانات
07,فارس,31,بیضا
07,فارس,23,پاسارگاد
07,فارس,04,جهرم
07,فارس,29,خرامه
07,فارس,18,خرم بيد
07,فارس,34,خفر
07,فارس,24,خنج
07,فارس,05,داراب
07,فارس,26,رستم
07,فارس,30,زرقان
07,فارس,19,زرين دشت
07,فارس,06,سپيدان
07,فارس,32,سرچهان
07,فارس,25,سروستان
07,فارس,07,شيراز
07,فارس,22,فراشبند
07,فارس,08,فسا
07,فارس,09,فيروزآباد
07,فارس,20,قيروکارزين
07,فارس,10,کازرون
07,فارس,28,کوار
07,فارس,33,کوه چنار
07,فارس,27,گراش
07,فارس,11,لارستان
07,فارس,15,لامرد
07,فارس,12,مرودشت
07,فارس,13,ممسني
07,فارس,21,مهر
07,فارس,14,ني ريز
26,قزوين,05,البرز
26,قزوين,04,آبيك
26,قزوين,06,آوج
26,قزوين,01,بوئين زهرا
26,قزوين,02,تاكستان
26,قزوين,03,قزوين
25,قم,01,قم
12,كردستان,01,بانه
12,كردستان,02,بيجار
12,كردستان,10,دهگلان
12,كردستان,07,ديواندره
12,كردستان,09,سروآباد
12,كردستان,03,سقز
12,كردستان,04,سنندج
12,كردستان,05,قروه
12,كردستان,08,كامياران
12,كردستان,06,مريوان
08,كرمان,23,ارزوئيه
08,كرمان,20,انار
08,كرمان,01,بافت
08,كرمان,10,بردسير
08,كرمان,02,بم
08,كرمان,03,جيرفت
08,كرمان,18,رابر
08,كرمان,11,راور
08,كرمان,04,رفسنجان
08,كرمان,15,رودبارجنوب
08,كرمان,17,ريگان
08,كرمان,05,زرند
08,كرمان,06,سيرجان
08,كرمان,07,شهربابك
08,كرمان,12,عنبرآباد
08,كرمان,22,فارياب
08,كرمان,19,فهرج
08,كرمان,16,قلعه گنج
08,كرمان,08,كرمان
08,كرمان,09,كهنوج
08,كرمان,14,كوهبنان
08,كرمان,13,منوجان
08,كرمان,21,نرماشير
17,كهگيلويه وبويراحمد,07,باشت
17,كهگيلويه وبويراحمد,05,بهمئي
17,كهگيلويه وبويراحمد,01,بويراحمد
17,كهگيلويه وبويراحمد,06,چرام
17,كهگيلويه وبويراحمد,04,دنا
17,كهگيلويه وبويراحمد,02,كهگيلويه
17,كهگيلويه وبويراحمد,03,گچساران
17,كهگيلويه وبويراحمد,08,لنده
17,كهگيلويه وبويراحمد,09,مارگون
05,کرمانشاه,01,اسلام آبادغرب
05,کرمانشاه,03,پاوه
05,کرمانشاه,12,ثلاث باباجاني
05,کرمانشاه,09,جوانرود
05,کرمانشاه,13,دالاهو
05,کرمانشاه,14,روانسر
05,کرمانشاه,04,سرپل ذهاب
05,کرمانشاه,05,سنقر
05,کرمانشاه,10,صحنه
05,کرمانشاه,06,قصرشيرين
05,کرمانشاه,02,کرمانشاه
05,کرمانشاه,07,کنگاور
05,کرمانشاه,08,گيلانغرب
05,کرمانشاه,11,هرسين
27,گلستان,10,آزادشهر
27,گلستان,08,آق قلا
27,گلستان,01,بندرگز
27,گلستان,02,تركمن
27,گلستان,11,راميان
27,گلستان,03,علي آباد کتول
27,گلستان,04,كردكوئ
27,گلستان,09,كلاله
27,گلستان,14,گاليكش
27,گلستان,05,گرگان
27,گلستان,13,گميشان
27,گلستان,06,گنبدكاووس
27,گلستان,12,مراوه تپه
27,گلستان,07,مينودشت
01,گيلان,13,املش
01,گيلان,01,آستارا
01,گيلان,02,آستانه اشرفيه
01,گيلان,03,بندرانزلي
01,گيلان,05,رشت
01,گيلان,14,رضوانشهر
01,گيلان,06,رودبار
01,گيلان,07,رودسر
01,گيلان,15,سياهكل
01,گيلان,12,شفت
01,گيلان,08,صومعه سرا
01,گيلان,04,طوالش
01,گيلان,09,فومن
01,گيلان,11,لاهيجان
01,گيلان,10,لنگرود
01,گيلان,16,ماسال
15,لرستان,07,ازنا
15,لرستان,01,اليگودرز
15,لرستان,02,بروجرد
15,لرستان,08,پلدختر
15,لرستان,10,چگني
15,لرستان,03,خرم آباد
15,لرستان,04,دلفان
15,لرستان,05,دورود
15,لرستان,11,رومشکان
15,لرستان,09,سلسله
15,لرستان,06,کوهدشت
02,مازندران,01,آمل
02,مازندران,02,بابل
02,مازندران,16,بابلسر
02,مازندران,04,بهشهر
02,مازندران,05,تنكابن
02,مازندران,21,جويبار
02,مازندران,20,چالوس
02,مازندران,06,رامسر
02,مازندران,07,سارئ
02,مازندران,08,سوادكوه
02,مازندران,27,سوادکوه شمالي
02,مازندران,26,سيمرغ
02,مازندران,24,عباس آباد
02,مازندران,23,فريدونكنار
02,مازندران,10,قائم شهر
02,مازندران,28,کلاردشت
02,مازندران,22,گلوگاه
02,مازندران,18,محمودآباد
02,مازندران,25,مياندورود
02,مازندران,19,نكا
02,مازندران,14,نور
02,مازندران,15,نوشهر
00,مرکزي,01,اراک
00,مرکزي,02,آشتيان
00,مرکزي,03,تفرش
00,مرکزي,04,خمين
00,مرکزي,12,خنداب
00,مرکزي,05,دليجان
00,مرکزي,10,زرنديه
00,مرکزي,06,ساوه
00,مرکزي,07,شازند
00,مرکزي,13,فراهان
00,مرکزي,11,کميجان
00,مرکزي,09,محلات
22,هرمزگان,01,ابوموسي
22,هرمزگان,09,بستك
22,هرمزگان,13,بشاگرد
22,هرمزگان,02,بندرعباس
22,هرمزگان,03,بندرلنگه
22,هرمزگان,11,پارسيان
22,هرمزگان,06,جاسك
22,هرمزگان,08,حاجي اباد
22,هرمزگان,10,خمير
22,هرمزگان,07,رودان
22,هرمزگان,12,سيريك
22,هرمزگان,04,قشم
22,هرمزگان,05,ميناب
13,همدان,06,اسدآباد
13,همدان,07,بهار
13,همدان,01,تويسركان
13,همدان,10,درگزین
13,همدان,08,رزن
13,همدان,09,فامنين
13,همدان,05,كبودرآهنگ
13,همدان,02,ملاير
13,همدان,03,نهاوند
13,همدان,04,همدان
21,يزد,07,ابركوه
21,يزد,01,اردكان
21,يزد,08,اشکذر
21,يزد,02,بافق
21,يزد,11,بهاباد
21,يزد,03,تفت
21,يزد,09,خاتم
21,يزد,04,مهريز
21,يزد,06,ميبد
21,يزد,05,يزد
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
